Codigo,Prateleira,Autor,Titulo,Cidade,Editora,Ano Publicação,Genero,Origem,Quantidade Volumes
9284,Ficção,"Cony, Carlos Heitor","Mistério da coroa imperial, O  ",Rio de Janeiro,Petra,2017,Ficção,Governo,1
9303,Romance,"Scliar, Moacyr",Eden-Brasil,São Paulo,Cia das Letras,2002,Romance,Governo,1
9308,Lit. Inf. Juvenil,"Lonza, Furio",Eric com o pé na estrada,São Paulo,Cia das Letras,2002,Lit. Inf  Juvenil,Governo,1
9310,Lit. Inf. Juvenil,"Lonza, Furio",Eric com o pé na estrada,São Paulo,Cia das Letras,2002,Lit. Inf  Juvenil,Governo,1
9314,Contos,"Gullar, Ferreira","Menino e o Arco-íris, O",São Paulo,Ática,2003,Crônicas,Governo,1
9319,Lit. Inf. Juvenil,"Dimenstein, Gilberto e Heloisa Prieto",Mano descobre a solidariedade,São Paulo,SENAC,2001,Lit. Inf  Juvenil,Governo,1
9322,Ficção,"Barbosa, Rogerio Andrade","Anel de Tutancâmon, O",São Paulo,Melhoramentos,2002,Ficção,Governo,1
9333,Lit. Inf. Juvenil,"Bloch, Pedro","Tininho, o Folgado ",São Paulo,Nacional ,2002,Lit. Inf  Juvenil,,1
9337,Lit. Inf. Juvenil,"Scliar, Moacyr",Memórias de um aprendiz de Escritor,São Paulo,Nacional,2002,Lit. Inf  Juvenil,Governo,1
9342,Lit. Inf. Juvenil,"Stevenson, Robert Louis","Ilha do Tesouro, A",São Paulo,Cia Ed. Nacional,2002,Lit. Inf  Juvenil,Governo,1
9344,Lit Inf. Juvenil,"Cooper, J. Fenimore","Último dos Moicanos, O",São Paulo,Cia Ed. Nacional,2002,Lit. Inf  Juvenil,Governo,1
9352,Lit. Inf. Juvenil,"Doyle, Arthur Conan","Mundo Perdido, O",São Paulo,Cia Nacional,2002,Lit. Inf  Juvenil,Governo,1
9353,Lit. Inf. Juvenil,"Curwood, James Olivier",Nômades do Norte,São Paulo,Cia Ed. Nacional,2002,Lit. Inf  Juvenil,Governo,1
9378,Diversos,"Castelo Branco, Carlos Alberto",Conexão Sardinha,Rio de Janeiro,Nova Fronteira,2001,Novela,Governo,1
9422,Lit. Inf. Juvenil,"Danziger, Paula",Clara Rosa vê Vermelho,Rio de Janeiro,Rocco,2002,Lit. Inf  Juvenil,Governo,1
9423,Lit. Inf. Juvenil,"Danziger, Paula",Clara Rosa vê Vermelho,Rio de Janeiro,Rocco,2002,Lit. Inf  Juvenil,Governo,1
9424,Lit. Inf. Juvenil,"Danziger, Paula",Clara Rosa vê Vermelho,Rio de Janeiro,Rocco,2002,Lit. Inf  Juvenil,Governo,1
9431,Lit. Inf. Juvenil,"Souza, Flavio de","Causo do colar Arco,íris , O ",São Paulo,Mercuryo,2002,Lit. Inf  Juvenil,Governo,1
9433,Lit. Inf. Juvenil,"Souza, Flavio de","Causo do colar Arco,íris , O ",São Paulo,Mercuryo,2002,Lit. Inf  Juvenil,Governo,1
9439,Ficção,"Lima, Edy","Vaca Voadora, A",São Paulo,Global,2002,Lit. Inf  Juvenil,Governo,1
9463,Lit. Inf. Juvenil,"Barbosa, Rogério Andrade","Trilha do Mamute, Na",São Paulo,Saraiva,2003,Lit. Inf  Juvenil,Governo,1
9469,Lit Inf. Juvenil," Costa, Marco Túlio",Gato Que  Falava Siamês,Rio de Janeiro,Record,2003,Lit. Inf  Juvenil,Governo,1
9475,Lit. Inf. Juvenil,"Dimenstein, Gilberto e Heloisa Prieto",Mano descobre a liberdade,São Paulo,SENAC,2001,Lit. Inf  Juvenil,Governo,1
9483,Coleção,"Lobato, Monteiro","Reforma da Natureza, A",São Paulo,Brasiliense,2003,Lit. Inf  Juvenil,Governo,1
9484,Coleção,"Lobato, Monteiro","Reforma da Natureza, A",São Paulo,Brasiliense,2003,Lit. Inf  Juvenil,Governo,1
9486,Lit. Inf. Juvenil,"Betto, Frei e outra",Fogãozinho,São Paulo,Mercuryo,2002,Lit. Inf  Juvenil,Governo,1
9487,Lit. Inf. Juvenil,"Betto, Frei e outra",Fogãozinho,São Paulo,Mercuryo,2002,Lit. Inf  Juvenil,Governo,1
9506,Lit. Inf. Juvenil,"Rios, Rosana",Por-do-sol e Pão de Queijo,São Paulo,Studio Nobel,2002,Lit. Inf  Juvenil,Governo,1
9507,Lit. Inf. Juvenil,"Rios, Rosana",Por-do-sol e Pão de Queijo,São Paulo,Studio Nobel,2002,Lit. Inf  Juvenil,Governo,1
9508,Lit. Inf. Juvenil,"Rios, Rosana",Por-do-sol e Pão de Queijo,São Paulo,Studio Nobel,2002,Lit. Inf  Juvenil,Governo,1
9557,Lit. Inf. Juvenil,"Maldonado, Maria Tereza","Florestania, a cidadania dos povos da floresta",São Paulo,Saraiva,2002,Lit. Inf. Juvenil,Doacao,1
9589,Lit. Inf. Juvenil,"Rezende Maris, Stela","Terra dos mais belos desejos, A",São Paulo,PauLus ,2002,Lit. Inf  Juvenil,Governo,1
9598,Lit Inf. Juvenil,"Cruz, Nelson",Bárbara e Alvarenga,Belo Horizonte,Formato Editorial,2001,Lit. Inf  Juvenil,Governo,1
9606,Lit. Inf  Juvenil,"Garcia, Edson Gabriel","Pássaro das duas metades, O",São Paulo,Moderna ,2000,Lit. Inf  Juvenil,Governo,1
9615,Lit. Inf. Juvenil,"Martins, Georgina","Olho da Rua, No",São Paulo,Ática,2003,Lit. Inf  Juvenil,Governo,1
9615,Lit. Inf. Juvenil,"Martins, Georgina ","Olho da rua , No",São Paulo,Ática,2003,Lit. Inf  Juvenil,Governo,1
9620,Lit. Inf. Juvenil,"Varella, Drauzio","Braços para o Alto, De",São Paulo,Cia das Letrinhas,2008,Lit. Inf  Juvenil,Governo,1
9628,Romance,"Vasques Montalban, Manuel","Senhor dos Bonsais, O",São Paulo,Cia das Letras,2002,Romance,Governo,1
9629,Lit. Inf. Juvenil,"Mello, Roger",Meninos do mangue,São Paulo,Companhia das letrinhas,2003,Lit. Inf. Juvenil,Governo,1
9630,Lit. Inf. Juvenil,"Mello, Roger",Meninos do Mangue,São Paulo,Cia das Letrinhas,2001,Lit. Inf  Juvenil,Governo,1
9633,Lit. Inf. Juvenil,"Seuss, Dr.","Lugares aonde você irá, Ah, os",São Paulo,Cia das Letrinhas,2001,Lit. Inf  Juvenil,Governo,1
9639,Lit. Inf. Juvenil,"Martinelli, Tânia Alexandre","Que é que eu posso fazer?, O",São Paulo,Atual,2002,Lit. Inf  Juvenil,Governo,1
9642,Lit Inf. Juvenil,"Palaoro, V. J.",Golpe de Vista,São Paulo,Atual,2002,Lit. Inf  Juvenil,Governo,1
9643,Lit Inf. Juvenil,"Palaoro, V. J.",Golpe de Vista,São Paulo,Atual,2002,Lit. Inf  Juvenil,Governo,1
9647,Lit. Inf. Juvenil,"Oliveira, Nelson de","Mais dia menos dia, a paixão",São Paulo,Hedra,2002,Lit. Inf  Juvenil,Governo,1
9677,Contos,Vilma Maria da Silva,Contos Populares Chineses,São Paulo,Landy,2003,Contos,Governo,1
9679,Contos,Abreu. Antonio Daniel,Contos Populares Chineses- Vol 2,São Paulo,Landy,2003,Contos,Governo,1
9680,Contos,Joseph Jacobs,Contos de fadas Celtas,São Paulo,Landy,2003,Contos,Governo,1
9685,Ficção,"Kipling, Rudyard","Livro da Selva, O",São Paulo,Landy,2002,Ficção,Governo,1
9690,Romance,"Defoe, Daniel",Robinson Crusoé ,São Paulo,Cia Nacional,2002,Romance,Governo,1
9692,Coleção,"Lobato, Monteiro",Aventuras de Hans Staden,São Paulo,Brasiliense,2002,Lit. Inf  Juvenil,Governo,1
9693,Coleção,"Lobato, Monteiro",Aventuras de Hans Staden,São Paulo,Brasiliense,2002,Lit. Inf  Juvenil,Governo,1
9708,Lit. Inf. Juvenil,"Mallory, Sir Thomas","Rei Artur e os Cavaleiros da Távola Redonda, O",São Paulo,Rideel,2002,Lit. Inf  Juvenil,Governo,1
9715,Lit. Inf. Juvenil,"Galdino, Luiz","Rapto de Helena, O",São Paulo,FTD,2001,Lit. Inf  Juvenil,Governo,1
9716,Coleção,"Lobato, Monteiro","Doze Trabalhos de Hércules, Os",São Paulo,Brasiliense,1994,Lit. Inf  Juvenil,Governo,1
9716,Coleção,"Lobato, Monteiro","Doze Trabalhos de Hércules, Os",São Paulo,Brasiliense,2004,Lit. Inf  Juvenil,Governo,1
9716,Coleção,"Lobato, Monteiro","Doze Trabalhos de Hércules, Os",São Paulo,Brasiliense,1997,Lit. Inf  Juvenil,Governo,1
9725,Lit. Inf. Juvenil,"Doyle, Arthur Conan","Mundo Perdido, O",São Paulo,Scipione,2001,Lit. Inf  Juvenil,Governo,1
9726,Lit. Inf. Juvenil,"Doyle, Arthur Conan","Mundo Perdido, O",São Paulo,Scipione,2001,Lit. Inf  Juvenil,Governo,1
9729,Romance,"Hugo, Victor","Lenda do belo Pecopin e da bela Bauldour, A",São Paulo,Mercuryo,2002,Lit. Inf  Juvenil,Governo,1
9737,Lit. Inf  Juvenil,Frances Hodgson Burnett,"Pequeno Lord, O ",São Paulo,34,2002,Contos,Governo,1
9738,Lit. Inf  Juvenil,Frances Hodgson Burnett,"Pequeno Lord, O ",São Paulo,34,2002,Contos,Governo,1
9746,Ficção,"Tahan, Malba","Livro de Aladin, O",Rio de Janeiro,Record,2003,Ficção,Governo,1
9748,Ficção,"Tahan, Malba","Livro de Aladin, O",Rio de Janeiro,Record,2003,Ficção,Governo,1
9750,Contos,Malba Tahan,"Melhores contos, Os ",Rio de Janeiro,Record,2003,Contos,Governo,1
9750,Contos,"Tahan, Malba ","Melhores contos, Os ",Rio de Janeiro,Record,2003,Contos,Governo,1
9759,Contos,"Assis, Machado de","Melhores contos, Os ",São Paulo,Global,2002,Contos,Governo,1
9761,,Cora Coralina,"Tesouro da casa velha, O ",São Paulo,Global,2002,Contos,Governo,1
9848,Lit. Inf. Juvenil,"Rocha, Ruth e Otavio Roth","Livro da Escrita, O",São Paulo,Melhoramentos,1992,Lit. Inf  Juvenil,Governo,1
9854,Lit. Inf. Juvenil,"Rocha, Ruth e Otavio Roth","Livro do Papel, O",São Paulo,Melhoramentos,1992,Lit. Inf  Juvenil,Governo,1
9856,,Jorge Miguel Marinho,"Amor esta com pressa, O ",São Paulo,Melhoramentos,2002,Contos,Governo,2
9881,Lit. Inf. Juvenil,"Stevenson, Robert Louis","Ilha do Tesouro, A",São Paulo,Cia Ed. Nacional,2002,Lit. Inf  Juvenil,Governo,1
9882,Romance,"Defoe, Daniel",Robinson Crusoé ,São Paulo,Cia Nacional,2002,Romance,Governo,1
9884,Lit. Inf. Juvenil,Walcyr Carrasco,Cadê o Super-Herói?,São Paulo,Global,2002,Lit. Inf  Juvenil,,1
9884,Lit. Inf. Juvenil,Walcyr Carrasco,Cadê o Super-Herói?,São Paulo,Global,2002,Lit. Inf  Juvenil,,1
9897,Lit. Inf. Juvenil,"Villas Boas, Marion",Mistérios da Pindorama,Rio de Janeiro,Biruta,2000,Lit. Inf  Juvenil,Governo,1
9903,Lit. Inf. Juvenil,"Dreguer, Ricardo","Homem-passaro, O",São Paulo,Moderna,2003,Lit. Inf  Juvenil,Governo,1
9906,Poemas,"Bilac, Olavo",Melhores Poemas,São Paulo,Global,2003,Poesia,Governo,1
9907,Poemas,"Bilac, Olavo","Soldado e a Trombeta, O",São Paulo,Global,2003,Poesia,Governo,1
9908,Diversos,"Scliar, Moacyr","Tio que flutuava, O ",São Paulo,Ática,2003,Novela,Governo,1
9911,Lit. Inf. Juvenil,"Prieto, Heloisa",Rotas Fantásticas,São Paulo,FTD,2003,Ficção,Governo,1
9926,Lit. Inf. Juvenil,"Andrade, Tiago de Melo","Batata Infalível, A",São Paulo,DCL,2003,Lit. Inf  Juvenil,Governo,1
9933,Lit. Inf. Juvenil,"Massa, Ana Cristina",Mistério no Museu Imperial,São Paulo,Biruta,2003,Lit. Inf  Juvenil,Governo,1
9947,Lit. Inf. Juvenil,"Cunha, Carolina",Aguemon,São Paulo,Martins Fontes,2002,Lit. Inf  Juvenil,Governo,1
9948,Coleção,"Alencar, José de","Guarani, O",Cotia,Ateliê,2000,Vestibular,Governo,1
9951,Lit. Inf  Juvenil,"Swift, Jonathan",Viagens de Gulliver,São Paulo,DCL,2004,Lit. Inf  Juvenil,Governo,1
9953,Poema,Antonio Gonçalves da silva,Antologia Poética Patativa do Assaré,Fortaleza ,Demócrito Rocha,2004,Antologia Poética,Governo,1
9955,Romance,"McCulllough, Colleen",Pássaros feridos,Rio de Janeiro,Bertrand Brasil,2003,Romance,Doacao,1
9962,,"Suassuna, Ariano","Santo e a Porca, O ",Rio de Janeiro,Olympio,2003,Teatro Brasileiro,Governo,1
9963,Contos,Rachel de Queiroz,"Melhor do conto brasileiro, O",Rio de Janeiro,José Olympio,2004,Contos,Governo,1
9968,Poema,"Bandeira, Manuel",Antologia Poética,Rio de Janeiro,Nova Fronteira,2001,Poesia,Governo,1
